,epochs,hidden_neurons,hidden_layers,activation,regularization,acc_train,mse_train,mae_train,rmse_train,std_res_train,ia_train,acc_test,mse_test,mae_test,rmse_test,std_res_test,ia_test
model1084,200,50,5,relu,0.01,0.854,97.023,6.656,9.85,9.822,0.959,0.762,152.602,7.86,12.353,12.315,0.931
model1085,200,50,5,relu,0.005,0.867,88.799,6.449,9.423,9.42,0.964,0.763,151.601,7.9,12.313,12.301,0.934
model1086,200,50,6,relu,1,0.842,105.433,6.818,10.268,10.206,0.954,0.761,152.895,7.836,12.365,12.296,0.928
model1087,200,50,6,relu,0.75,0.85,99.769,6.808,9.988,9.886,0.962,0.751,159.514,8.221,12.63,12.571,0.935
model1088,200,50,6,relu,0.5,0.838,107.727,6.985,10.379,10.372,0.955,0.777,142.79,7.746,11.949,11.948,0.938
model1089,200,50,6,relu,0.1,0.866,89.147,6.436,9.442,9.439,0.963,0.777,142.896,7.754,11.954,11.947,0.938
model1090,200,50,6,relu,0.05,0.862,92.033,6.532,9.593,9.585,0.963,0.773,145.286,7.91,12.053,12.051,0.938
model1091,200,50,6,relu,0.01,0.858,94.279,6.8,9.71,9.604,0.961,0.781,140.076,7.764,11.835,11.785,0.939
model1092,200,50,6,relu,0.005,0.861,92.169,6.519,9.6,9.599,0.963,0.773,145.361,7.762,12.057,12.056,0.938
model1093,200,50,7,relu,1,0.845,103.232,6.844,10.16,10.16,0.957,0.758,154.889,7.97,12.445,12.445,0.932
model1094,200,50,7,relu,0.75,0.852,98.672,6.671,9.933,9.877,0.96,0.767,149.333,7.83,12.22,12.126,0.933
model1095,200,50,7,relu,0.5,0.845,103.099,6.863,10.154,10.152,0.958,0.762,152.346,7.902,12.343,12.332,0.935
model1096,200,50,7,relu,0.1,0.835,110.044,6.938,10.49,10.424,0.952,0.764,151.191,7.875,12.296,12.216,0.932
model1097,200,50,7,relu,0.05,0.862,91.629,6.587,9.572,9.558,0.963,0.774,144.472,7.727,12.02,12.015,0.938
model1098,200,50,7,relu,0.01,0.859,94.046,6.536,9.698,9.681,0.961,0.77,147.281,7.844,12.136,12.102,0.935
model1099,200,50,7,relu,0.005,0.826,115.72,6.977,10.757,10.441,0.946,0.75,160.254,7.941,12.659,12.329,0.92
model1100,200,50,8,relu,1,0.844,103.939,6.881,10.195,10.184,0.956,0.788,135.635,7.702,11.646,11.645,0.94
model1101,200,50,8,relu,0.75,0.851,98.885,6.659,9.944,9.905,0.958,0.764,150.975,7.754,12.287,12.244,0.932
model1102,200,50,8,relu,0.5,0.843,104.2,6.718,10.208,10.183,0.955,0.769,147.73,7.794,12.154,12.124,0.933
model1103,200,50,8,relu,0.1,0.854,96.83,6.628,9.84,9.79,0.958,0.775,143.849,7.715,11.994,11.929,0.933
model1104,200,50,8,relu,0.05,0.852,98.522,6.796,9.926,9.92,0.959,0.777,142.499,7.774,11.937,11.937,0.937
model1105,200,50,8,relu,0.01,0.846,102.284,6.915,10.114,10.01,0.96,0.748,161.413,8.075,12.705,12.646,0.933
model1106,200,50,8,relu,0.005,0.852,98.605,6.956,9.93,9.665,0.962,0.749,160.787,8.195,12.68,12.515,0.934
model1107,200,50,9,relu,1,0.853,98.078,6.839,9.903,9.847,0.96,0.765,150.75,8.019,12.278,12.246,0.935
model1108,200,50,9,relu,0.75,0.864,90.762,6.537,9.527,9.512,0.963,0.76,153.523,7.851,12.39,12.389,0.933
model1109,200,50,9,relu,0.5,0.855,96.515,6.666,9.824,9.824,0.959,0.774,144.495,7.762,12.021,12.02,0.935
model1110,200,50,9,relu,0.1,0.842,105.222,6.942,10.258,10.164,0.958,0.763,151.786,7.999,12.32,12.263,0.937
model1111,200,50,9,relu,0.05,0.845,102.869,6.767,10.142,10.028,0.955,0.776,143.473,7.674,11.978,11.855,0.935
model1112,200,50,9,relu,0.01,0.852,98.638,6.638,9.932,9.815,0.957,0.776,143.263,7.734,11.969,11.837,0.934
model1113,200,50,9,relu,0.005,0.842,104.968,6.877,10.245,10.211,0.954,0.774,144.56,7.714,12.023,11.973,0.933
model1114,200,50,10,relu,1,0.849,100.777,7.001,10.039,9.806,0.961,0.753,157.904,8.281,12.566,12.416,0.935
model1115,200,50,10,relu,0.75,0.865,89.934,6.439,9.483,9.482,0.962,0.771,146.419,7.777,12.1,12.091,0.933
model1116,200,50,10,relu,0.5,0.858,94.401,6.587,9.716,9.674,0.96,0.764,151.126,7.778,12.293,12.229,0.93
model1117,200,50,10,relu,0.1,0.859,93.926,6.495,9.692,9.651,0.96,0.777,142.46,7.667,11.936,11.888,0.936
model1118,200,50,10,relu,0.05,0.837,108.449,6.879,10.414,10.262,0.952,0.773,145.129,7.814,12.047,11.887,0.932
model1119,200,50,10,relu,0.01,0.866,89.396,6.469,9.455,9.422,0.964,0.759,154.283,7.953,12.421,12.41,0.933
model1120,200,50,10,relu,0.005,0.848,100.978,6.865,10.049,9.952,0.959,0.779,141.224,7.889,11.884,11.836,0.939
model1121,200,75,1,relu,1,0.817,121.996,7.403,11.045,11.044,0.947,0.782,139.396,7.76,11.807,11.803,0.938
model1122,200,75,1,relu,0.75,0.819,120.336,7.377,10.97,10.966,0.949,0.785,137.963,7.679,11.746,11.744,0.94
model1123,200,75,1,relu,0.5,0.817,121.839,7.406,11.038,11.026,0.949,0.785,137.749,7.732,11.737,11.735,0.939
model1124,200,75,1,relu,0.1,0.817,121.602,7.353,11.027,10.992,0.946,0.783,139.203,7.711,11.798,11.749,0.935
model1125,200,75,1,relu,0.05,0.819,120.161,7.366,10.962,10.961,0.949,0.792,133.242,7.66,11.543,11.543,0.941
model1126,200,75,1,relu,0.01,0.82,119.505,7.368,10.932,10.932,0.949,0.785,137.489,7.757,11.726,11.721,0.94
model1127,200,75,1,relu,0.005,0.809,126.836,7.66,11.262,11.184,0.947,0.779,141.325,7.898,11.888,11.841,0.938
model1128,200,75,2,relu,1,0.84,106.697,7.101,10.329,10.234,0.958,0.773,145.57,7.925,12.065,12.01,0.939
model1129,200,75,2,relu,0.75,0.832,111.488,7.03,10.559,10.535,0.952,0.779,141.549,7.691,11.897,11.863,0.935
model1130,200,75,2,relu,0.5,0.838,107.547,7.022,10.371,10.364,0.954,0.779,141.446,7.752,11.893,11.893,0.936
model1131,200,75,2,relu,0.1,0.839,107.125,7.017,10.35,10.35,0.955,0.773,145.336,7.681,12.056,12.053,0.936
model1132,200,75,2,relu,0.05,0.845,103.219,6.976,10.16,10.111,0.958,0.774,145.013,7.907,12.042,12.011,0.939
model1133,200,75,2,relu,0.01,0.813,124.235,7.609,11.146,10.979,0.949,0.766,150.108,8.092,12.252,12.144,0.936
model1134,200,75,2,relu,0.005,0.844,104.109,6.945,10.203,10.197,0.956,0.781,139.954,7.737,11.83,11.83,0.938
model1135,200,75,3,relu,1,0.839,106.959,6.879,10.342,10.138,0.953,0.764,150.811,7.822,12.281,12.028,0.927
model1136,200,75,3,relu,0.75,0.853,97.885,6.775,9.894,9.832,0.961,0.766,150.059,8.015,12.25,12.224,0.937
model1137,200,75,3,relu,0.5,0.859,93.537,6.562,9.671,9.668,0.961,0.777,143.046,7.856,11.96,11.95,0.937
model1138,200,75,3,relu,0.1,0.861,92.448,6.511,9.615,9.507,0.961,0.764,150.993,7.938,12.288,12.156,0.931
model1139,200,75,3,relu,0.05,0.849,100.748,6.834,10.037,10.019,0.957,0.769,147.644,7.798,12.151,12.147,0.933
model1140,200,75,3,relu,0.01,0.84,106.206,7.09,10.306,10.137,0.96,0.748,161.3,8.167,12.7,12.592,0.934
model1141,200,75,3,relu,0.005,0.868,87.61,6.38,9.36,9.357,0.964,0.762,152.577,7.885,12.352,12.339,0.933
model1142,200,75,4,relu,1,0.87,86.457,6.33,9.298,9.291,0.964,0.766,150.109,7.808,12.252,12.232,0.932
model1143,200,75,4,relu,0.75,0.86,93.404,6.53,9.665,9.655,0.961,0.763,151.909,7.814,12.325,12.306,0.932
model1144,200,75,4,relu,0.5,0.841,105.456,6.794,10.269,10.254,0.955,0.755,156.611,7.897,12.514,12.488,0.929
model1145,200,75,4,relu,0.1,0.838,107.71,6.842,10.378,10.357,0.953,0.77,147.274,7.807,12.136,12.099,0.933
model1146,200,75,4,relu,0.05,0.867,88.465,6.427,9.406,9.4,0.964,0.763,151.451,7.962,12.307,12.306,0.934
model1147,200,75,4,relu,0.01,0.862,91.785,6.508,9.58,9.566,0.962,0.775,144.011,7.782,12.0,11.999,0.936
model1148,200,75,4,relu,0.005,0.853,97.969,6.781,9.898,9.817,0.96,0.771,146.333,7.963,12.097,12.056,0.936
model1149,200,75,5,relu,1,0.86,92.843,6.496,9.635,9.621,0.961,0.768,148.669,7.872,12.193,12.167,0.933
model1150,200,75,5,relu,0.75,0.836,108.914,6.984,10.436,10.426,0.955,0.759,154.423,7.972,12.427,12.425,0.932
model1151,200,75,5,relu,0.5,0.864,90.41,6.372,9.508,9.498,0.961,0.757,155.465,7.876,12.469,12.448,0.929
model1152,200,75,5,relu,0.1,0.876,82.277,6.163,9.071,9.06,0.965,0.77,147.227,7.907,12.134,12.108,0.933
model1153,200,75,5,relu,0.05,0.852,98.47,6.526,9.923,9.622,0.956,0.756,156.217,7.984,12.499,12.167,0.925
model1154,200,75,5,relu,0.01,0.873,84.375,6.211,9.186,9.174,0.966,0.753,157.977,8.028,12.569,12.569,0.929
model1155,200,75,5,relu,0.005,0.849,100.63,6.782,10.031,10.028,0.959,0.752,158.921,7.952,12.606,12.605,0.933
model1156,200,75,6,relu,1,0.856,95.786,6.589,9.787,9.773,0.961,0.76,153.944,7.996,12.407,12.403,0.934
model1157,200,75,6,relu,0.75,0.854,97.35,6.595,9.867,9.601,0.957,0.746,162.337,7.983,12.741,12.504,0.924
model1158,200,75,6,relu,0.5,0.861,92.785,6.501,9.632,9.627,0.961,0.775,144.356,7.816,12.015,11.997,0.935
model1159,200,75,6,relu,0.1,0.853,97.538,6.785,9.876,9.746,0.961,0.772,145.944,7.958,12.081,12.009,0.939
model1160,200,75,6,relu,0.05,0.862,92.036,6.501,9.594,9.593,0.962,0.763,151.724,7.876,12.318,12.315,0.933
model1161,200,75,6,relu,0.01,0.853,98.079,6.546,9.903,9.688,0.957,0.765,150.56,7.857,12.27,12.03,0.928
model1162,200,75,6,relu,0.005,0.874,84.044,6.204,9.168,9.167,0.967,0.752,158.979,8.095,12.609,12.605,0.933
model1163,200,75,7,relu,1,0.865,89.649,6.307,9.468,9.404,0.962,0.765,150.324,7.868,12.261,12.179,0.932
model1164,200,75,7,relu,0.75,0.865,89.814,6.429,9.477,9.474,0.961,0.772,145.726,7.791,12.072,12.061,0.933
model1165,200,75,7,relu,0.5,0.855,96.61,6.722,9.829,9.72,0.961,0.768,148.735,8.006,12.196,12.141,0.936
model1166,200,75,7,relu,0.1,0.87,86.189,6.303,9.284,9.279,0.966,0.762,152.256,8.011,12.339,12.339,0.936
model1167,200,75,7,relu,0.05,0.854,96.984,6.563,9.848,9.55,0.957,0.755,156.942,8.056,12.528,12.229,0.925
model1168,200,75,7,relu,0.01,0.869,87.392,6.233,9.348,9.296,0.964,0.757,155.318,8.077,12.463,12.401,0.931
model1169,200,75,7,relu,0.005,0.869,87.358,6.51,9.347,9.146,0.966,0.764,150.985,8.028,12.288,12.176,0.936
model1170,200,75,8,relu,1,0.877,81.741,6.125,9.041,9.025,0.966,0.757,155.435,7.938,12.467,12.441,0.929
model1171,200,75,8,relu,0.75,0.864,90.267,6.449,9.501,9.481,0.964,0.752,158.672,8.23,12.596,12.594,0.932
model1172,200,75,8,relu,0.5,0.86,93.342,6.477,9.661,9.593,0.961,0.757,155.885,7.947,12.485,12.394,0.929
model1173,200,75,8,relu,0.1,0.877,81.657,6.073,9.036,9.028,0.965,0.754,157.665,7.962,12.556,12.541,0.928
model1174,200,75,8,relu,0.05,0.845,102.965,6.663,10.147,10.111,0.955,0.768,148.558,7.809,12.188,12.14,0.931
model1175,200,75,8,relu,0.01,0.881,79.186,5.994,8.899,8.858,0.968,0.767,149.501,7.778,12.227,12.159,0.932
model1176,200,75,8,relu,0.005,0.862,91.539,6.415,9.568,9.559,0.962,0.762,152.468,7.952,12.348,12.339,0.931
model1177,200,75,9,relu,1,0.851,99.001,6.572,9.95,9.875,0.957,0.748,161.582,8.074,12.711,12.635,0.927
model1178,200,75,9,relu,0.75,0.871,86.046,6.225,9.276,9.229,0.963,0.754,157.529,8.0,12.551,12.492,0.927
model1179,200,75,9,relu,0.5,0.868,87.617,6.262,9.36,9.262,0.963,0.774,144.575,7.8,12.024,11.915,0.935
model1180,200,75,9,relu,0.1,0.849,100.53,6.626,10.026,10.011,0.958,0.758,154.899,8.012,12.446,12.416,0.931
model1181,200,75,9,relu,0.05,0.843,104.741,6.661,10.234,10.11,0.953,0.761,153.055,7.86,12.372,12.233,0.927
model1182,200,75,9,relu,0.01,0.868,88.032,6.303,9.383,9.203,0.967,0.729,173.696,8.507,13.179,13.069,0.93
model1183,200,75,9,relu,0.005,0.843,104.242,6.627,10.21,10.032,0.953,0.768,148.749,7.911,12.196,12.025,0.929
model1184,200,75,10,relu,1,0.868,87.589,6.304,9.359,9.339,0.964,0.768,148.861,7.813,12.201,12.173,0.934
model1185,200,75,10,relu,0.75,0.855,96.771,6.657,9.837,9.729,0.962,0.733,170.757,8.345,13.067,12.992,0.929
model1186,200,75,10,relu,0.5,0.862,91.957,6.399,9.589,9.52,0.961,0.78,140.57,7.722,11.856,11.79,0.937
model1187,200,75,10,relu,0.1,0.856,95.739,6.562,9.785,9.78,0.962,0.767,149.333,7.858,12.22,12.22,0.936
model1188,200,75,10,relu,0.05,0.876,82.432,6.211,9.079,9.027,0.967,0.767,148.876,7.891,12.201,12.179,0.936
model1189,200,75,10,relu,0.01,0.869,87.216,6.404,9.339,9.295,0.965,0.749,160.486,8.202,12.668,12.652,0.931
model1190,200,75,10,relu,0.005,0.855,96.549,6.801,9.826,9.409,0.964,0.732,171.498,8.727,13.096,12.849,0.932
model1191,200,100,1,relu,1,0.823,117.798,7.312,10.853,10.852,0.95,0.787,136.539,7.728,11.685,11.685,0.94
model1192,200,100,1,relu,0.75,0.819,120.134,7.28,10.961,10.871,0.948,0.78,140.55,7.678,11.855,11.75,0.936
model1193,200,100,1,relu,0.5,0.818,120.853,7.43,10.993,10.985,0.948,0.785,137.751,7.779,11.737,11.734,0.939
model1194,200,100,1,relu,0.1,0.822,118.437,7.419,10.883,10.838,0.95,0.786,137.161,7.778,11.712,11.689,0.94
model1195,200,100,1,relu,0.05,0.821,118.911,7.26,10.905,10.866,0.948,0.786,137.238,7.695,11.715,11.653,0.937
model1196,200,100,1,relu,0.01,0.819,120.494,7.436,10.977,10.954,0.95,0.777,142.929,7.872,11.955,11.944,0.938
model1197,200,100,1,relu,0.005,0.817,121.548,7.323,11.025,10.994,0.947,0.779,141.577,7.774,11.899,11.846,0.936
model1198,200,100,2,relu,1,0.854,97.09,6.79,9.853,9.795,0.962,0.778,142.245,7.841,11.927,11.906,0.94
model1199,200,100,2,relu,0.75,0.841,105.522,6.873,10.272,10.159,0.954,0.77,147.35,7.813,12.139,11.996,0.931
model1200,200,100,2,relu,0.5,0.846,102.432,6.807,10.121,10.121,0.957,0.779,141.239,7.719,11.884,11.88,0.937
model1201,200,100,2,relu,0.1,0.846,102.389,6.848,10.119,10.117,0.956,0.776,143.662,7.78,11.986,11.98,0.936
model1202,200,100,2,relu,0.05,0.841,105.93,6.967,10.292,10.272,0.956,0.756,156.162,7.952,12.496,12.489,0.932
model1203,200,100,2,relu,0.01,0.847,102.053,6.847,10.102,10.09,0.958,0.773,145.138,7.852,12.047,12.032,0.937
model1204,200,100,2,relu,0.005,0.854,97.1,6.807,9.854,9.817,0.961,0.756,156.171,8.019,12.497,12.487,0.932
model1205,200,100,3,relu,1,0.859,94.125,6.642,9.702,9.672,0.962,0.76,153.784,7.937,12.401,12.392,0.934
model1206,200,100,3,relu,0.75,0.875,82.902,6.242,9.105,9.097,0.966,0.753,158.269,8.108,12.581,12.58,0.93
model1207,200,100,3,relu,0.5,0.861,92.793,6.505,9.633,9.625,0.961,0.747,161.965,7.973,12.727,12.722,0.93
model1208,200,100,3,relu,0.1,0.863,91.381,6.407,9.559,9.447,0.96,0.763,151.565,7.903,12.311,12.187,0.928
model1209,200,100,3,relu,0.05,0.886,76.078,5.885,8.722,8.715,0.969,0.75,160.008,8.115,12.649,12.635,0.929
model1210,200,100,3,relu,0.01,0.859,94.047,6.516,9.698,9.684,0.961,0.762,152.497,7.894,12.349,12.317,0.931
model1211,200,100,3,relu,0.005,0.854,97.417,6.582,9.87,9.847,0.958,0.764,151.001,7.706,12.288,12.249,0.931
model1212,200,100,4,relu,1,0.879,80.486,6.046,8.971,8.955,0.969,0.761,153.142,7.991,12.375,12.375,0.934
model1213,200,100,4,relu,0.75,0.863,91.459,6.431,9.563,9.423,0.962,0.741,165.95,8.147,12.882,12.738,0.924
model1214,200,100,4,relu,0.5,0.874,83.864,6.127,9.158,9.157,0.966,0.755,157.15,8.095,12.536,12.532,0.931
model1215,200,100,4,relu,0.1,0.882,78.557,6.062,8.863,8.862,0.968,0.755,156.966,8.096,12.529,12.529,0.931
model1216,200,100,4,relu,0.05,0.871,85.699,6.279,9.257,9.232,0.966,0.761,152.76,8.009,12.36,12.352,0.935
model1217,200,100,4,relu,0.01,0.859,93.561,6.532,9.673,9.673,0.961,0.741,165.719,8.094,12.873,12.872,0.925
model1218,200,100,4,relu,0.005,0.881,79.273,6.107,8.904,8.811,0.969,0.737,168.126,8.33,12.966,12.918,0.928
model1219,200,100,5,relu,1,0.853,98.034,6.788,9.901,9.595,0.963,0.745,162.977,8.477,12.766,12.585,0.934
model1220,200,100,5,relu,0.75,0.867,88.714,6.242,9.419,9.366,0.964,0.75,160.373,8.063,12.664,12.618,0.929
model1221,200,100,5,relu,0.5,0.866,89.057,6.285,9.437,9.425,0.963,0.766,150.093,7.911,12.251,12.228,0.934
model1222,200,100,5,relu,0.1,0.855,96.647,6.46,9.831,9.569,0.957,0.746,162.523,8.174,12.748,12.499,0.921
model1223,200,100,5,relu,0.05,0.85,99.536,6.613,9.977,9.822,0.956,0.745,163.366,8.026,12.781,12.61,0.923
model1224,200,100,5,relu,0.01,0.87,86.189,6.295,9.284,9.281,0.965,0.774,145.009,7.867,12.042,12.041,0.936
model1225,200,100,5,relu,0.005,0.881,79.389,6.145,8.91,8.866,0.969,0.754,157.429,8.178,12.547,12.532,0.933
model1226,200,100,6,relu,1,0.873,84.825,6.197,9.21,9.147,0.964,0.768,148.666,7.872,12.193,12.101,0.931
model1227,200,100,6,relu,0.75,0.866,89.442,6.395,9.457,9.404,0.964,0.758,154.987,8.126,12.449,12.426,0.934
model1228,200,100,6,relu,0.5,0.885,76.353,5.881,8.738,8.73,0.968,0.755,156.754,8.048,12.52,12.509,0.929
model1229,200,100,6,relu,0.1,0.878,81.422,6.075,9.023,9.023,0.967,0.748,161.495,8.181,12.708,12.707,0.928
model1230,200,100,6,relu,0.05,0.885,76.268,5.906,8.733,8.719,0.97,0.763,151.579,8.032,12.312,12.311,0.934
model1231,200,100,6,relu,0.01,0.877,81.989,6.068,9.055,8.972,0.965,0.764,151.014,7.999,12.289,12.19,0.931
model1232,200,100,6,relu,0.005,0.877,81.977,6.048,9.054,9.054,0.966,0.759,154.433,7.983,12.427,12.422,0.931
model1233,200,100,7,relu,1,0.855,96.308,6.465,9.814,9.492,0.959,0.747,161.888,8.17,12.724,12.398,0.926
model1234,200,100,7,relu,0.75,0.863,91.328,6.38,9.557,9.552,0.963,0.769,148.186,7.951,12.173,12.164,0.936
model1235,200,100,7,relu,0.5,0.864,90.777,6.458,9.528,9.425,0.964,0.751,159.654,8.121,12.635,12.593,0.932
model1236,200,100,7,relu,0.1,0.877,81.889,6.062,9.049,9.048,0.966,0.769,147.818,7.894,12.158,12.154,0.934
model1237,200,100,7,relu,0.05,0.874,83.569,6.118,9.142,9.117,0.965,0.761,152.869,7.957,12.364,12.328,0.931
model1238,200,100,7,relu,0.01,0.877,81.833,6.029,9.046,9.037,0.967,0.756,155.952,8.018,12.488,12.458,0.93
model1239,200,100,7,relu,0.005,0.868,87.583,6.338,9.359,9.346,0.964,0.77,146.982,7.918,12.124,12.12,0.935
model1240,200,100,8,relu,1,0.872,85.232,6.245,9.232,9.188,0.967,0.751,159.374,8.113,12.624,12.617,0.931
model1241,200,100,8,relu,0.75,0.871,86.132,6.09,9.281,9.261,0.965,0.759,154.604,8.016,12.434,12.393,0.931
model1242,200,100,8,relu,0.5,0.867,88.525,6.225,9.409,9.383,0.963,0.761,152.877,7.877,12.364,12.324,0.931
model1243,200,100,8,relu,0.1,0.881,78.986,5.948,8.887,8.87,0.967,0.759,154.005,7.976,12.41,12.372,0.93
model1244,200,100,8,relu,0.05,0.878,81.071,6.115,9.004,8.98,0.967,0.755,156.752,8.093,12.52,12.511,0.931
model1245,200,100,8,relu,0.01,0.854,96.85,6.698,9.841,9.674,0.962,0.755,157.177,8.29,12.537,12.448,0.934
model1246,200,100,8,relu,0.005,0.873,84.459,6.074,9.19,9.169,0.966,0.759,154.503,8.068,12.43,12.407,0.932
model1247,200,100,9,relu,1,0.876,82.658,6.034,9.092,9.077,0.966,0.765,150.493,7.938,12.268,12.25,0.933
model1248,200,100,9,relu,0.75,0.862,91.554,6.318,9.568,9.217,0.959,0.749,160.65,8.207,12.675,12.351,0.924
model1249,200,100,9,relu,0.5,0.879,80.678,5.999,8.982,8.976,0.968,0.752,158.728,8.212,12.599,12.599,0.931
model1250,200,100,9,relu,0.1,0.866,89.377,6.256,9.454,9.265,0.961,0.747,161.98,8.067,12.727,12.516,0.922
model1251,200,100,9,relu,0.05,0.872,85.251,6.121,9.233,9.226,0.965,0.755,156.768,8.031,12.521,12.509,0.931
model1252,200,100,9,relu,0.01,0.877,82.03,6.141,9.057,8.885,0.969,0.75,160.034,8.156,12.65,12.572,0.935
model1253,200,100,9,relu,0.005,0.843,104.571,6.961,10.226,10.029,0.959,0.737,168.425,8.436,12.978,12.86,0.931
model1254,200,100,10,relu,1,0.881,79.131,5.864,8.896,8.895,0.969,0.758,154.858,7.933,12.444,12.436,0.933
model1255,200,100,10,relu,0.75,0.853,97.736,6.463,9.886,9.599,0.956,0.758,155.019,8.001,12.451,12.145,0.924
model1256,200,100,10,relu,0.5,0.867,88.361,6.307,9.4,9.364,0.965,0.766,149.987,8.136,12.247,12.242,0.935
model1257,200,100,10,relu,0.1,0.87,86.381,6.198,9.294,9.285,0.963,0.755,156.753,7.933,12.52,12.496,0.927
model1258,200,100,10,relu,0.05,0.855,96.523,6.542,9.825,9.824,0.96,0.766,149.779,7.994,12.238,12.236,0.935
model1259,200,100,10,relu,0.01,0.88,79.91,6.035,8.939,8.935,0.969,0.76,153.893,8.006,12.405,12.405,0.935
model1260,200,100,10,relu,0.005,0.883,78.006,5.975,8.832,8.832,0.968,0.762,152.333,7.986,12.342,12.337,0.932
