,ATM,LDO,LPIN,MIR,OBL,SFE,TLA,VAL,CEN,AGU_med,AGU_pred
892,26.5,-1.0,36.9,23.3,17.6,52.687,71.13,-1.0,17.51,17.3,7.8948045
893,40.9,43.0,96.0,102.91,39.4,88.711,47.6,45.6,53.88,38.8,44.63314
894,23.6,-1.0,25.9,32.93,28.1,53.143,-1.0,36.4,31.9,33.5,32.118595
895,15.37,16.81,17.94,-1.0,20.93,-1.0,14.27,10.65,12.69,16.14,12.233805
896,37.22,27.43,-1.0,38.83,35.25,25.01,31.81,23.71,37.52,27.73,30.42173
897,99.6,98.7,145.5,135.38,65.8,98.19,92.3,-1.0,89.29,103.6,68.81513
898,109.8,-1.0,68.3,84.9,22.1,-1.0,90.51,-1.0,39.19,47.0,32.15333
899,42.1,-1.0,42.6,47.98,25.8,40.521,-1.0,36.4,39.9,36.5,31.403494
900,35.4,-1.0,22.5,21.9,8.9,44.811,28.72,-1.0,20.73,14.8,9.799042
901,43.9,-1.0,60.2,41.0,-1.0,33.538,30.68,-1.0,31.83,15.8,22.67973
902,28.76,33.51,-1.0,-1.0,27.37,25.92,42.57,28.33,27.6,22.61,28.39874
903,33.1,-1.0,-1.0,10.6,-1.0,26.467,24.58,-1.0,9.71,7.9,5.7780027
904,42.67,46.27,-1.0,210.58,35.75,73.3,30.04,41.11,41.61,30.85,31.984604
905,25.1,-1.0,-1.0,68.7,22.6,55.797,-1.0,-1.0,28.84,21.9,27.444939
906,23.85,-1.0,-1.0,51.03,34.06,86.65,24.22,23.86,36.34,16.01,17.607082
907,12.3,-1.0,-1.0,15.2,-1.0,21.383,20.9,-1.0,18.44,14.5,11.822885
908,31.42,33.98,-1.0,-1.0,29.27,18.08,28.51,32.83,32.7,18.86,21.758959
909,-1.0,-1.0,7.3,-1.0,0.4,12.366,15.4,16.8,3.9,7.9,2.8696496
910,5.9,-1.0,61.6,-1.0,27.4,98.723,45.35,-1.0,33.54,32.4,17.713764
911,28.52,34.32,-1.0,-1.0,35.57,26.35,33.15,0.05,44.87,44.49,32.640335
912,-1.0,-1.0,16.1,30.2,-1.0,34.904,35.73,-1.0,26.36,20.7,22.743189
913,41.6,43.99,81.73,-1.0,47.53,66.29,31.69,23.56,-1.0,22.89,24.08267
914,-1.0,6.36,18.33,-1.0,10.52,37.16,10.7,21.67,21.66,22.36,9.841164
915,-1.0,-1.0,81.0,76.57,14.1,49.181,-1.0,25.2,17.24,19.8,27.03363
916,-1.0,62.4,123.9,137.1,19.5,71.252,21.6,25.8,19.9,17.1,35.82741
917,-1.0,27.13,-1.0,47.71,13.58,33.99,34.12,16.8,15.17,10.96,12.135064
918,-1.0,-1.0,107.1,37.51,41.7,64.717,42.0,31.3,38.28,30.0,34.214638
919,-1.0,-1.0,22.7,18.74,17.0,-1.0,-1.0,49.2,29.6,9.1,11.800827
920,1.8,-1.0,-1.0,28.5,-1.0,35.418,16.7,-1.0,3.89,12.9,11.328767
921,-1.0,-1.0,83.3,64.96,13.3,75.691,30.4,19.7,20.06,19.7,33.420757
922,-1.0,-1.0,59.2,46.9,20.3,36.16,51.31,-1.0,40.77,28.3,34.322456
923,-1.0,48.93,21.95,12.33,-1.0,54.6,-1.0,26.22,32.35,30.66,31.237852
924,44.9,47.45,-1.0,61.99,36.62,40.58,42.37,29.73,49.19,48.34,28.595104
925,53.0,-1.0,98.9,55.58,37.8,71.954,49.1,50.1,46.84,45.5,40.06198
