,AGU,ATM,LPIN,MIR,OBL,SFE,TLA,VAL,CEN,LDO_med,LDO_pred
208,-1.0,-1.0,35.42,-1.0,-1.0,48.86,-1.0,-1.0,-1.0,19.07,30.118336
209,-1.0,35.1,46.5,-1.0,-1.0,-1.0,93.27,41.8,32.3,43.7,30.366486
210,-1.0,-1.0,163.7,45.44,-1.0,-1.0,-1.0,-1.0,-1.0,105.06,52.475407
211,-1.0,38.6,47.2,-1.0,37.3,-1.0,-1.0,-1.0,35.65,45.7,45.259235
212,-1.0,44.9,85.9,35.2,-1.0,43.559,-1.0,-1.0,-1.0,101.9,91.03901
213,-1.0,36.0,75.9,69.33,63.8,66.866,78.6,-1.0,79.5,62.1,66.09118
214,-1.0,12.5,11.8,-1.0,-1.0,-1.0,17.61,-1.0,11.91,15.9,15.474788
215,-1.0,19.4,38.8,-1.0,19.0,-1.0,68.94,15.9,19.78,35.2,34.502617
216,-1.0,-1.0,25.89,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25.51,22.049212
217,-1.0,-1.0,108.96,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.34,49.682243
218,28.3,29.13,-1.0,-1.0,27.72,85.32,26.5,37.69,30.47,30.78,27.388855
219,17.24,26.06,-1.0,-1.0,39.32,149.6,33.38,27.9,36.66,48.36,48.589027
220,-1.0,25.5,18.5,15.2,-1.0,22.67,-1.0,-1.0,-1.0,30.0,26.359083
221,-1.0,-1.0,8.1,11.79,9.0,16.568,10.2,12.8,9.5,10.2,9.953799
222,68.8,38.7,53.4,58.8,41.5,161.8,46.4,40.6,40.9,73.1,51.757706
223,-1.0,-1.0,20.4,40.49,12.0,54.95,15.5,36.0,15.9,11.5,15.306266
224,-1.0,12.0,39.5,-1.0,-1.0,-1.0,29.7,-1.0,19.27,13.5,35.41863
225,-1.0,11.1,20.7,-1.0,-1.0,-1.0,-1.0,-1.0,13.66,42.7,20.251934
226,-1.0,-1.0,51.77,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35.24,34.476204
227,-1.0,-1.0,112.8,-1.0,-1.0,-1.0,41.74,15.8,27.61,63.9,71.83564
228,-1.0,-1.0,56.0,14.1,-1.0,46.829,-1.0,-1.0,-1.0,25.1,37.26393
229,-1.0,73.1,251.1,-1.0,-1.0,-1.0,-1.0,71.8,70.74,86.1,90.33314
230,18.31,34.13,-1.0,-1.0,77.79,41.8,35.2,-1.0,37.24,34.33,26.825512
231,21.47,-1.0,16.22,22.33,-1.0,27.65,-1.0,52.73,16.25,23.85,17.201078
232,-1.0,41.3,120.0,-1.0,31.9,-1.0,57.87,34.6,29.68,71.0,64.16124
233,-1.0,51.8,73.4,57.96,38.9,50.079,48.3,-1.0,-1.0,55.4,64.748665
234,-1.0,21.0,12.3,-1.0,0.0,-1.0,21.5,-1.0,13.44,19.6,18.447624
235,-1.0,35.3,33.6,-1.0,23.1,-1.0,-1.0,-1.0,19.89,20.4,50.35844
236,-1.0,-1.0,46.3,-1.0,-1.0,30.22,-1.0,-1.0,-1.0,40.23,32.79587
237,-1.0,-1.0,54.43,-1.0,-1.0,151.81,-1.0,-1.0,-1.0,52.62,36.925083
238,-1.0,39.5,67.2,-1.0,62.5,-1.0,-1.0,50.0,56.73,52.6,59.54238
239,-1.0,20.2,159.4,-1.0,15.4,-1.0,-1.0,22.8,-1.0,58.1,44.565933
240,-1.0,-1.0,26.8,-1.0,-1.0,86.23,-1.0,-1.0,-1.0,2.9,24.315275
241,49.6,-1.0,36.6,68.32,39.0,129.33,27.6,48.7,34.53,22.1,40.983017
242,-1.0,-1.0,10.8,6.98,7.9,15.995,8.4,14.8,13.9,11.2,20.83286
243,-1.0,66.8,79.2,-1.0,66.9,-1.0,43.88,64.0,58.99,58.5,72.545006
244,32.6,58.88,-1.0,-1.0,51.48,19.86,44.94,48.03,40.6,46.15,50.445126
245,-1.0,-1.0,115.37,-1.0,-1.0,207.72,-1.0,-1.0,-1.0,55.46,49.95464
246,-1.0,26.4,-1.0,-1.0,38.4,-1.0,-1.0,47.5,38.1,163.5,53.97784
247,-1.0,11.0,19.2,-1.0,-1.0,-1.0,14.93,-1.0,12.19,14.7,17.93297
248,-1.0,-1.0,297.6,-1.0,132.3,-1.0,-1.0,-1.0,-1.0,187.1,80.19501
249,-1.0,14.3,57.0,-1.0,-1.0,-1.0,25.81,-1.0,22.63,36.0,40.352825
250,-1.0,58.8,69.5,80.65,39.4,85.949,48.6,-1.0,52.0,52.5,53.208626
251,-1.0,67.8,71.1,106.69,40.8,123.65,41.3,-1.0,45.7,88.3,42.695656
252,-1.0,16.3,42.7,-1.0,20.1,-1.0,14.1,11.2,19.36,39.3,34.45785
253,-1.0,-1.0,11.16,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.72,12.505987
254,-1.0,23.0,34.9,-1.0,19.5,-1.0,35.51,48.1,35.56,30.4,36.7865
255,-1.0,23.5,-1.0,37.3,-1.0,52.165,24.55,-1.0,24.99,17.7,47.6522
256,-1.0,34.5,22.5,-1.0,-1.0,-1.0,21.66,-1.0,12.45,10.4,18.735453
257,-1.0,135.7,421.9,153.15,76.8,226.95,156.1,115.0,145.83,201.2,171.36261
258,22.22,29.16,-1.0,-1.0,29.98,34.79,32.43,15.95,38.92,26.74,36.86229
259,-1.0,-1.0,110.19,-1.0,-1.0,193.87,-1.0,-1.0,-1.0,45.33,49.701214
260,-1.0,70.9,38.3,123.79,75.6,159.18,98.2,-1.0,71.4,82.1,74.55925
261,-1.0,-1.0,81.1,36.43,43.4,73.465,38.2,40.3,39.0,65.4,48.507454
262,-1.0,24.5,42.0,-1.0,-1.0,-1.0,25.86,-1.0,16.74,10.0,24.816198
263,-1.0,-1.0,20.68,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.27,19.167473
264,15.9,11.2,33.0,27.68,24.7,59.477,24.4,6.8,20.36,29.1,27.335825
265,-1.0,36.7,126.4,-1.0,18.9,-1.0,29.59,27.4,36.51,56.0,57.412556
266,22.37,26.95,-1.0,177.25,27.44,38.76,26.21,30.88,27.05,28.15,29.011238
267,-1.0,29.4,154.0,-1.0,-1.0,-1.0,-1.0,12.2,23.8,35.1,48.694508
