,AGU,ATM,LDO,LPIN,OBL,SFE,TLA,VAL,CEN,MIR_med,MIR_pred
264,-1.0,-1.0,41.81,34.72,-1.0,-1.0,-1.0,-1.0,-1.0,176.72,49.384987
265,-1.0,48.0,132.9,198.3,-1.0,113.67,-1.0,-1.0,-1.0,156.6,107.02027
266,-1.0,60.6,83.6,170.6,73.8,174.57,69.3,-1.0,53.9,56.99,133.5908
267,25.5,72.5,-1.0,47.5,26.3,71.714,54.39,-1.0,31.93,50.4,50.89835
268,-1.0,23.6,34.1,42.0,34.1,83.802,34.2,50.1,27.86,57.5,42.95322
269,41.9,28.0,66.8,137.2,45.8,67.141,35.0,35.1,40.73,38.89,51.36946
270,16.8,16.7,-1.0,17.6,10.6,20.238,-1.0,14.5,14.61,8.38,25.55564
271,47.02,-1.0,145.6,-1.0,116.03,44.56,71.35,94.9,72.01,218.37,86.97621
272,27.52,35.77,50.56,-1.0,38.76,127.79,35.12,32.26,45.07,270.14,68.972466
273,25.1,41.7,-1.0,-1.0,28.3,41.364,38.61,-1.0,37.91,24.9,41.895737
274,-1.0,35.8,42.1,66.3,37.3,58.269,42.3,-1.0,52.2,34.31,52.920303
275,-1.0,27.7,22.8,32.1,22.6,45.583,36.8,-1.0,25.8,69.61,36.96413
