,AGU,ATM,LDO,LPIN,MIR,OBL,TLA,VAL,CEN,SFE_med,SFE_pred
251,-1.0,-1.0,24.0,43.8,37.51,16.9,26.7,37.2,23.6,63.828,71.38028
252,-1.0,-1.0,-1.0,34.2,47.72,21.9,34.7,23.4,15.6,44.225,50.25655
253,-1.0,-1.0,25.7,96.3,60.27,18.8,34.4,43.6,26.0,88.82,80.6736
254,-1.0,18.3,16.4,59.4,31.68,23.0,21.6,-1.0,13.0,50.499,54.84717
255,-1.0,143.0,55.7,282.6,-1.0,88.2,126.9,-1.0,114.7,269.62,321.22415
256,-1.0,29.2,28.6,24.4,15.8,-1.0,-1.0,-1.0,-1.0,29.045,36.23746
257,-1.0,-1.0,-1.0,-1.0,31.4,-1.0,34.91,-1.0,15.08,42.332,31.69448
258,-1.0,8.9,29.9,31.5,25.62,18.1,10.1,-1.0,21.0,29.34,44.778397
259,-1.0,48.6,-1.0,66.5,52.1,41.4,64.5,-1.0,0.2,88.817,67.77566
260,-1.0,26.3,50.1,44.7,89.12,25.7,46.8,46.7,31.97,66.028,100.0395
261,-1.0,78.0,35.2,188.4,111.62,39.5,36.8,103.4,44.2,208.55,205.58597
262,14.59,24.93,24.08,-1.0,-1.0,20.07,20.83,23.5,29.97,68.89,52.587513
263,41.5,18.3,26.2,52.0,33.84,27.6,31.3,27.2,31.45,82.589,68.272766
264,27.1,-1.0,-1.0,74.7,48.81,43.2,-1.0,21.3,52.56,74.122,72.135994
265,-1.0,-1.0,14.25,26.37,-1.0,-1.0,-1.0,-1.0,-1.0,105.09,96.72776
266,27.9,22.9,-1.0,68.7,79.49,19.7,34.8,17.1,21.22,61.29,63.503284
267,-1.0,55.3,45.8,53.8,91.99,46.4,49.6,49.7,53.95,83.764,135.57318
268,-1.0,49.0,69.0,88.9,68.22,45.2,50.5,-1.0,36.5,84.376,93.5558
269,-1.0,32.1,39.0,-1.0,24.2,-1.0,20.99,-1.0,19.6,37.505,56.255375
270,-1.0,24.7,37.0,40.1,-1.0,26.2,43.0,33.6,25.3,45.138,60.975464
271,47.3,30.7,-1.0,97.0,106.43,46.0,-1.0,55.1,37.07,101.97,87.57702
272,15.06,17.89,26.49,-1.0,42.0,11.43,25.3,16.87,20.18,42.02,44.587204
273,-1.0,39.3,45.3,112.7,81.66,67.8,57.2,-1.0,53.8,106.53,108.99104
