,0,1,2,3,4,5,6,7,8,9,10,11,12
model262-0.05,50,50,8,relu,0.05,0.8170285693697336,123.40381691581732,7.398595436313947,11.108727061001064,0.7870792955602417,128.46567994461455,7.522129184283943,11.334270154915778
model262-0.01,50,50,8,relu,0.01,0.7777855909090873,149.87097253955372,8.266627114291149,12.242180056654686,0.7323124624864529,161.50924171447562,8.391279417938415,12.70862863232991
model262-0.005,50,50,8,relu,0.005,0.8098892167932541,128.2189039226279,7.633428460773248,11.323378644319368,0.7813185146213035,131.9414463914706,7.738213675512312,11.48657679169345
model272-1,50,50,9,relu,1.0,0.8120027849923503,126.79342245712294,7.697403860195233,11.260258543085188,0.7867930280925682,128.63839938482803,7.74891988582989,11.341886941105876
model272-0.75,50,50,9,relu,0.75,0.8039664259065321,132.21348930515487,7.435689950724111,11.498412468908692,0.785955906683478,129.14347648053803,7.443335292981204,11.364131136190661
model272-0.5,50,50,9,relu,0.5,0.811830996932771,126.90928372671914,7.366999540055832,11.26540206680255,0.7881277583207282,127.8330900714178,7.423527330496684,11.30632964632722
model272-0.1,50,50,9,relu,0.1,0.8094130328828468,128.54006287020647,7.337263553416279,11.337551008494138,0.7861203127994002,129.0442820714055,7.446287523088314,11.35976593383004
model272-0.05,50,50,9,relu,0.05,0.8081686967395477,129.37929678273844,7.571483952125993,11.374502045484824,0.7886651300133137,127.50886692903893,7.560599122563181,11.291982418027356
model272-0.01,50,50,9,relu,0.01,0.8094798844382431,128.49497530066486,7.453656235342289,11.335562416601343,0.7766000828558708,134.78831159705746,7.547251803403853,11.609836846272106
model272-0.005,50,50,9,relu,0.005,0.8162687208401864,123.91629150543487,7.496223989005155,11.131769468751806,0.7789781919849719,133.35347975646067,7.599973943301535,11.547877716552971
model277-1,50,50,10,relu,1.0,0.8057871666357479,130.98550330304863,7.591054787060773,11.444889833591612,0.7824194521891513,131.27719584992616,7.62284479201566,11.457626100110186
model277-0.75,50,50,10,relu,0.75,0.8087063691775518,129.0166673226551,7.721782128773847,11.358550405868485,0.782906747759291,130.98318612965625,7.7589819896249335,11.444788601352855
model277-0.5,50,50,10,relu,0.5,0.7877913352541229,143.1226674134036,8.222446442033021,11.963388625861972,0.7553060875495106,147.63604095699375,8.237822087611573,12.150557228250635
model277-0.1,50,50,10,relu,0.1,0.813152502309786,126.01800355780603,7.548415879380512,11.22577407388043,0.7899792526190219,126.71599122201411,7.664554580091412,11.256819765014189
model277-0.05,50,50,10,relu,0.05,0.8128547786142348,126.21880124677162,7.335553456083024,11.234714115044122,0.7893434268776873,127.09961660218448,7.370433403282811,11.273846575245935
model277-0.01,50,50,10,relu,0.01,0.8209285787829097,120.77348251915362,7.350611946318858,10.989698927593677,0.7970054692212407,122.47672432865495,7.393574168030684,11.066920272987193
model277-0.005,50,50,10,relu,0.005,0.8057999422021704,130.97688691056393,7.4785634929877345,11.44451339771875,0.7746528371081599,135.96318207128937,7.573285435574464,11.660325127169026
