,AGU,ATM,LDO,LPIN,MIR,OBL,SFE,TLA,VAL,CEN_med,CEN_pred
231,51.13,71.4,65.2,-1.0,13.55,66.7,57.53,110.89,74.26,57.94,107.894684
232,-1.0,24.3,43.6,-1.0,-1.0,26.4,-1.0,21.68,24.9,24.54,24.398327
233,60.4,52.1,-1.0,99.4,109.03,44.0,131.41,-1.0,90.2,67.44,68.09206
234,17.3,25.6,-1.0,13.2,25.98,19.2,44.186,-1.0,17.5,23.04,21.794834
235,48.52,-1.0,43.95,-1.0,-1.0,58.54,81.97,54.4,62.38,69.49,60.89205
236,18.25,37.93,47.96,-1.0,47.2,27.09,63.62,32.94,36.89,38.92,35.3696
237,-1.0,35.1,51.3,68.1,-1.0,32.4,60.223,54.9,41.7,45.2,45.53292
238,17.1,-1.0,-1.0,-1.0,41.7,12.2,43.53,76.21,-1.0,39.37,19.610233
239,15.5,69.1,-1.0,-1.0,23.7,10.8,32.539,44.96,-1.0,12.0,17.64909
240,-1.0,38.1,45.1,59.6,-1.0,37.9,-1.0,12.85,30.2,25.92,35.5076
241,-1.0,-1.0,-1.0,-1.0,-1.0,50.4,-1.0,-1.0,54.3,48.55,60.076073
242,10.45,20.42,21.44,-1.0,-1.0,22.59,71.28,17.34,17.02,20.78,18.963043
243,-1.0,10.7,31.6,26.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.46,16.36785
244,-1.0,47.8,39.7,63.2,83.43,40.5,67.215,52.3,-1.0,49.9,48.74532
245,33.1,23.41,28.7,-1.0,-1.0,29.92,66.48,32.95,30.32,36.13,35.05603
246,-1.0,28.3,62.5,60.9,-1.0,44.6,-1.0,-1.0,46.4,35.25,43.01923
247,-1.0,-1.0,21.1,14.1,18.91,14.0,45.416,22.7,27.9,29.5,17.37981
248,-1.0,12.7,57.8,41.8,-1.0,-1.0,-1.0,33.43,-1.0,23.77,24.49695
249,-1.0,220.8,-1.0,-1.0,55.5,-1.0,69.3,101.63,-1.0,24.88,44.658966
250,31.2,-1.0,-1.0,96.2,46.0,18.9,65.687,22.8,29.5,30.43,27.676523
251,-1.0,11.8,61.3,37.7,-1.0,-1.0,-1.0,-1.0,-1.0,28.85,26.23766
252,-1.0,45.0,60.9,47.1,63.4,60.1,82.223,54.1,-1.0,49.8,59.215187
253,-1.0,56.1,30.0,125.2,118.64,29.5,150.08,41.9,114.8,38.1,44.214222
254,-1.0,-1.0,-1.0,18.4,21.41,15.5,48.52,20.0,23.5,13.2,20.472466
